system:index,area,batch,classNumber,kommunenum,navn,.geo
000000000000000000d4_3,2.7601919E7,dwChange_2016_2022,4,3014,Indre Østfold,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_0,2.2772353E8,dwChange_2016_2022,1,3002,Moss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_1,1709671.0,dwChange_2016_2022,2,3002,Moss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_2,51324.0,dwChange_2016_2022,3,3002,Moss,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da_3,2.2577566E7,dwChange_2016_2022,4,3002,Moss,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162_0,3.06687488E8,dwChange_2016_2022,1,3005,Drammen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162_1,1016258.0,dwChange_2016_2022,2,3005,Drammen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162_2,209325.0,dwChange_2016_2022,3,3005,Drammen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162_3,3.7240234E7,dwChange_2016_2022,4,3005,Drammen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,4.85722835E8,dwChange_2016_2022,1,3025,Asker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_1,2667935.0,dwChange_2016_2022,2,3025,Asker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_2,332533.0,dwChange_2016_2022,3,3025,Asker,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_3,4.6095642E7,dwChange_2016_2022,4,3025,Asker,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_0,1.131241369E9,dwChange_2016_2022,1,3026,Aurskog-Høland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_1,2045539.0,dwChange_2016_2022,2,3026,Aurskog-Høland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_2,53117.0,dwChange_2016_2022,3,3026,Aurskog-Høland,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_3,1.146101E7,dwChange_2016_2022,4,3026,Aurskog-Høland,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,1.16782141E9,dwChange_2016_2022,1,3043,Ål,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_1,1205230.0,dwChange_2016_2022,2,3043,Ål,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_2,161344.0,dwChange_2016_2022,3,3043,Ål,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_3,5790268.0,dwChange_2016_2022,4,3043,Ål,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,4.47269318E8,dwChange_2016_2022,1,3051,Rollag,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_1,656129.0,dwChange_2016_2022,2,3051,Rollag,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_2,21348.0,dwChange_2016_2022,3,3051,Rollag,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_3,1337410.0,dwChange_2016_2022,4,3051,Rollag,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,5.25644573E8,dwChange_2016_2022,1,3041,Gol,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_1,1286272.0,dwChange_2016_2022,2,3041,Gol,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_2,161559.0,dwChange_2016_2022,3,3041,Gol,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_3,5409690.0,dwChange_2016_2022,4,3041,Gol,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,5.57468612E8,dwChange_2016_2022,1,3050,Flesberg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_1,2155280.0,dwChange_2016_2022,2,3050,Flesberg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_2,23845.0,dwChange_2016_2022,3,3050,Flesberg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_3,2269708.0,dwChange_2016_2022,4,3050,Flesberg,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,7.49627624E8,dwChange_2016_2022,1,3042,Hemsedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_1,794446.0,dwChange_2016_2022,2,3042,Hemsedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_2,68453.0,dwChange_2016_2022,3,3042,Hemsedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_3,3023150.0,dwChange_2016_2022,4,3042,Hemsedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,1.847730443E9,dwChange_2016_2022,1,3044,Hol,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_1,1823929.0,dwChange_2016_2022,2,3044,Hol,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_2,63971.0,dwChange_2016_2022,3,3044,Hol,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_3,4914861.0,dwChange_2016_2022,4,3044,Hol,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,8.36962199E8,dwChange_2016_2022,1,3045,Sigdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_1,1738920.0,dwChange_2016_2022,2,3045,Sigdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_2,88956.0,dwChange_2016_2022,3,3045,Sigdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_3,3701616.0,dwChange_2016_2022,4,3045,Sigdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,1.531552283E9,dwChange_2016_2022,1,3007,Ringerike,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_1,2541595.0,dwChange_2016_2022,2,3007,Ringerike,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_2,277827.0,dwChange_2016_2022,3,3007,Ringerike,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_3,2.0734117E7,dwChange_2016_2022,4,3007,Ringerike,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_0,3.70174025E8,dwChange_2016_2022,1,3046,Krødsherad,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_1,1216940.0,dwChange_2016_2022,2,3046,Krødsherad,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_2,57779.0,dwChange_2016_2022,3,3046,Krødsherad,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0_3,3033260.0,dwChange_2016_2022,4,3046,Krødsherad,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_0,2.90869323E8,dwChange_2016_2022,1,3049,Lier,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_1,1071393.0,dwChange_2016_2022,2,3049,Lier,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_2,237247.0,dwChange_2016_2022,3,3049,Lier,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6_3,1.5351391E7,dwChange_2016_2022,4,3049,Lier,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_0,5.04487388E8,dwChange_2016_2022,1,3047,Modum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_1,1292205.0,dwChange_2016_2022,2,3047,Modum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_2,83300.0,dwChange_2016_2022,3,3047,Modum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7_3,1.1370095E7,dwChange_2016_2022,4,3047,Modum,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_0,2.497311765E9,dwChange_2016_2022,1,3052,Nore og Uvdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_1,2367841.0,dwChange_2016_2022,2,3052,Nore og Uvdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_2,55948.0,dwChange_2016_2022,3,3052,Nore og Uvdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_3,2404362.0,dwChange_2016_2022,4,3052,Nore og Uvdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_0,7.01285219E8,dwChange_2016_2022,1,3039,Flå,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_1,1530613.0,dwChange_2016_2022,2,3039,Flå,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_2,4557.0,dwChange_2016_2022,3,3039,Flå,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_3,1451919.0,dwChange_2016_2022,4,3039,Flå,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136_0,8.04033601E8,dwChange_2016_2022,1,3040,Nesbyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136_1,1759968.0,dwChange_2016_2022,2,3040,Nesbyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136_2,49974.0,dwChange_2016_2022,3,3040,Nesbyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136_3,3790355.0,dwChange_2016_2022,4,3040,Nesbyen,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_0,7.75309364E8,dwChange_2016_2022,1,3006,Kongsberg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_1,1739912.0,dwChange_2016_2022,2,3006,Kongsberg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_2,201049.0,dwChange_2016_2022,3,3006,Kongsberg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_3,1.5838949E7,dwChange_2016_2022,4,3006,Kongsberg,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_0,1.87672313E8,dwChange_2016_2022,1,3038,Hole,"{""type"":""MultiPoint"",""coordinates"":[]}"
