system:index,area,batch,classNumber,kommunenum,navn,.geo
00000000000000000150_7,1.3682108E7,dw2016,8,3036,Nannestad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_0,4123548.0,dw2016,1,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_1,2.6241164E7,dw2016,2,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_2,217430.0,dw2016,3,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_3,3007908.0,dw2016,4,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_4,791390.0,dw2016,5,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_5,5.8967538E7,dw2016,6,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_6,60648.0,dw2016,7,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_7,7793008.0,dw2016,8,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000151_8,2238.0,dw2016,9,3015,Skiptvet,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_0,5.0588182E7,dw2016,1,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_1,5.7692033E7,dw2016,2,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_2,950299.0,dw2016,3,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_3,5584543.0,dw2016,4,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_4,9943542.0,dw2016,5,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_5,1.5606379E8,dw2016,6,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_6,432604.0,dw2016,7,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_7,2.77890409E8,dw2016,8,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000152_8,7501.0,dw2016,9,3004,Fredrikstad,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_0,4193.0,dw2016,1,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_1,62528.0,dw2016,2,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_2,18331.0,dw2016,4,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000158_3,187122.0,dw2016,6,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_0,2.4599016E7,dw2016,1,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_1,4.8720305E7,dw2016,2,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_2,280751.0,dw2016,3,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_3,6181321.0,dw2016,4,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_4,1.2090003E7,dw2016,5,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_5,5.08438485E8,dw2016,6,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_6,5102.0,dw2016,7,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_7,6.1108444E7,dw2016,8,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000015a_8,9113.0,dw2016,9,3001,Halden,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_0,9751575.0,dw2016,1,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_1,1.1574117E7,dw2016,2,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_2,1367.0,dw2016,3,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_3,1251406.0,dw2016,4,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_4,889624.0,dw2016,5,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_5,6.1056742E7,dw2016,6,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_6,3.0574434E7,dw2016,8,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_7,2026.0,dw2016,9,3022,Frogn,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_0,1.2702742E7,dw2016,1,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_1,3.1715519E7,dw2016,2,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_2,140128.0,dw2016,3,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_3,3806370.0,dw2016,4,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_4,1003611.0,dw2016,5,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_5,5.1540137E7,dw2016,6,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_6,709.0,dw2016,7,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_7,2793878.0,dw2016,8,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_8,202.0,dw2016,9,3021,Ås,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,2.3531141E7,dw2016,1,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_1,3.1324421E7,dw2016,2,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_2,148043.0,dw2016,3,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_3,3935875.0,dw2016,4,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_4,1463372.0,dw2016,5,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_5,1.37100889E8,dw2016,6,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_6,101.0,dw2016,7,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_7,1.3903154E7,dw2016,8,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_8,10146.0,dw2016,9,3020,Nordre Follo,"{""type"":""MultiPoint"",""coordinates"":[]}"
