navn,kommunenum,year,Bebygd,Avling,Barmark,Gress,Busk,Skog,Vann,Våtmark,Snø og is
Nannestad,3036,2016,10.375921,29.401346,0.45158,10.977315,3.621122,272.469586,13.682108,0.004476,NA
Nes,3034,2016,18.893199,106.823176,0.787918,18.451702,11.56904,459.866404,24.366012,0.009209,NA
Nesbyen,3040,2016,7.962141,0.999935,0.246132,15.255073,97.767678,644.133301,33.557443,0.650794,9.061402
Nesodden,3023,2016,9.150391,1.736552,0.016559,0.911826,0.480072,48.365404,55.881421,NA,0.008526
Nittedal,3031,2016,11.406306,9.622711,0.225319,4.88247,1.013514,154.776745,4.299016,NA,NA
Nordre Follo,3020,2016,23.531141,31.324421,0.148043,3.935875,1.463372,137.100889,13.903154,1.01e-4,0.010146
Nore og Uvdal,3052,2016,5.62177,0.360309,3.907786,88.481646,1088.839094,988.682865,228.627352,6.235961,91.383133
Oslo,0301,2016,0.030484,NA,NA,0.001264,0.002302,0.331744,0.119423,1.58e-4,NA
Rakkestad,3016,2016,10.785248,92.05148,0.087905,9.277394,7.007436,305.194244,10.439915,0.028035,NA
Ringerike,3007,2016,29.600189,54.320628,1.138928,15.684109,28.334385,1310.494965,115.113767,0.126096,0.292756
Rollag,3051,2016,3.01129,2.394324,0.107364,5.676089,27.68334,385.004701,14.7034,0.001908,10.701789
Råde,3017,2016,9.990978,31.994446,0.230539,2.591925,0.771498,59.291867,53.920767,0.047195,0.024492
Rælingen,3027,2016,6.369725,2.796588,0.046846,2.062101,0.020743,46.524044,13.785739,0.075963,NA
Sarpsborg,3003,2016,36.987707,60.695979,0.198193,9.456555,2.862073,260.718916,56.035113,0.088685,0.026931
Sigdal,3045,2016,8.783387,16.644661,0.063957,15.535242,57.297739,711.501638,23.617884,0.00249,9.044692
Skiptvet,3015,2016,4.123548,26.241164,0.21743,3.007908,0.79139,58.967538,7.793008,0.060648,0.002238
Ullensaker,3033,2016,27.947019,67.020059,3.554802,14.662622,3.37171,134.318804,1.553842,NA,0.018118
Vestby,3019,2016,13.82023,27.447195,0.615825,2.528923,1.936735,87.242243,17.874986,NA,0.001067
Våler,3018,2016,4.601572,25.826113,0.079506,3.891725,2.126609,203.786305,16.61612,0.028526,NA
Ål,3043,2016,10.881039,1.808348,33.307509,92.7878,238.014434,588.93495,86.527965,2.666773,120.049434
Ås,3021,2016,12.702742,31.715519,0.140128,3.80637,1.003611,51.540137,2.793878,7.09e-4,2.02e-4
Øvre Eiker,3048,2016,18.277127,34.73708,0.319983,8.433083,2.947392,357.805627,34.237136,0.006375,7.09e-4
Aremark,3012,Endring,0.6573739999999999,0.6290599999999991,-0.004762,1.4934640000000003,-1.831388,-0.5806430000000091,-0.36223300000000336,NA,NA
Asker,3025,Endring,5.818791999999995,0.7070170000000005,0.06982,-0.3811169999999997,0.507218,-6.1386360000000195,-0.5987829999999974,0.008281,0.007409000000000001
Aurskog-Høland,3026,Endring,3.5979059999999983,3.0918939999999964,-0.05249799999999999,2.8700969999999995,1.9796549999999975,-11.920355000000086,0.46217299999999284,-0.029578999999999994,NA
Bærum,3024,Endring,1.5831360000000032,-0.08387900000000048,0.010458999999999996,0.1480560000000004,0.02730700000000008,-1.6107700000000023,-0.07279300000000077,-0.0017169999999999998,NA
Drammen,3005,Endring,2.4780879999999996,-0.4222539999999988,0.005987999999999993,0.26085100000000017,-0.1287959999999999,-2.3349170000000186,0.12360299999999569,0.017692,-2.539999999999999e-4
Eidsvoll,3035,Endring,3.2785730000000015,2.154477,-0.014205000000000023,0.9358109999999993,0.24421499999999963,-6.632194000000027,0.03199299999999994,NA,0.0013299999999999996
Enebakk,3028,Endring,1.8975050000000007,0.7129030000000007,-0.342688,0.18440600000000007,-0.37112500000000004,-1.9765589999999804,-0.10444199999999881,0,NA
Flesberg,3050,Endring,4.549867000000001,0.958926,-0.40808300000000003,0.2573850000000002,-3.8791259999999994,6.036933999999974,1.0637490000000014,0.020590999999999998,-8.600245
Flå,3039,Endring,2.7918230000000004,0.07565899999999992,0.00671200000000001,2.785964,-16.162484000000006,15.064546000000064,-0.38856600000000086,-0.004258,-4.169396
Fredrikstad,3004,Endring,3.668361999999995,-0.04295199999999966,0.025739999999999985,-0.8726269999999996,-0.626322,-1.4641840000000172,-0.5599819999999909,-0.13995399999999997,0.011920999999999998
Frogn,3022,Endring,2.5227880000000003,-0.31182899999999947,0.066694,0.08641900000000002,0.4849030000000001,-2.8398830000000004,-0.02190699999999879,NA,0.012815
Gjerdrum,3032,Endring,0.32852700000000024,2.7617079999999987,-1.23798,-1.6792819999999997,-0.7213359999999999,0.5470230000000029,0.0013410000000000366,NA,NA
Gol,3041,Endring,1.4137470000000008,-0.1312009999999999,0.22055200000000003,0.18827500000000086,-17.639250999999994,18.240477999999996,-1.6004999999999985,-0.092467,-0.599631
Halden,3001,Endring,2.5906480000000016,-1.3288150000000059,-0.07894699999999996,1.9227879999999997,-3.561216999999999,1.759335999999962,-1.303322999999999,2.5100000000000035e-4,-7.220000000000004e-4
Hemsedal,3042,Endring,0.3667579999999999,0.5963430000000001,17.611936,-11.289349000000001,-1.14989700000001,34.270286,-2.3242309999999975,-0.301057,-37.780790999999994
Hol,3044,Endring,1.26356,-0.6115149999999999,17.48769,-2.1195550000000054,46.684616000000005,56.777195000000006,0.09271400000000085,-2.1744060000000003,-117.40029900000002
Hole,3038,Endring,1.4662630000000005,-0.6980610000000027,-0.044583,0.5077960000000001,0.03806299999999996,-1.0885770000000008,-0.18084800000000456,-5.2999999999997494e-5,NA
Hurdal,3037,Endring,1.6040100000000006,0.25142299999999995,0.010649,4.281996000000001,-1.0610519999999997,-5.269780999999995,0.1732660000000017,0.009487000000000002,NA
Hvaler,3011,Endring,2.023588000000001,-0.24013600000000002,0.166528,0.183751,-1.0625789999999995,-0.5809519999999964,-0.627207999999996,0.006707999999999999,0.130299
Indre Østfold,3014,Endring,4.911728000000004,10.913010999999983,-2.181328,0.9805400000000013,0.566573,-14.925044000000014,-0.21344200000000058,-0.056709999999999997,NA
Jevnaker,3053,Endring,1.638662,2.0852640000000005,0.295207,0.4590209999999999,1.353072,-5.58259799999999,-0.2375860000000003,-0.01114,NA
Kongsberg,3006,Endring,4.516964999999999,3.0419690000000017,0.35558199999999995,-1.1071369999999998,0.6618419999999983,-6.956371999999988,-0.2699409999999993,NA,-0.24290899999999999
Krødsherad,3046,Endring,2.6167050000000005,0.8566610000000003,-0.061738,2.2409940000000006,2.868692000000001,-4.7129959999999755,0.2594670000000008,0.008833,-4.076619
Lier,3049,Endring,0.8235039999999998,-1.5619970000000016,-0.20968399999999998,1.3343120000000006,0.14486700000000008,-0.3057860000000119,-0.22501499999999908,NA,NA
Lillestrøm,3030,Endring,2.006819,2.390453000000008,-1.0234210000000001,-1.9310419999999997,0.39721399999999996,-1.9706950000000347,0.06105999999999767,0.068908,NA
Lunner,3054,Endring,2.4239630000000005,5.285663999999999,0.266621,1.6595519999999997,0.6567589999999996,-10.715823,0.4183679999999974,NA,NA
Lørenskog,3029,Endring,0.43164299999999933,0.3880600000000003,-0.104255,-0.5871249999999999,0.021019000000000003,-0.1999400000000051,0.05059899999999984,NA,NA
Marker,3013,Endring,1.4446880000000002,4.176628999999998,-0.105637,-0.15182399999999951,1.175631,-6.22375100000005,-0.30695300000000003,-0.011235,0.002453
Modum,3047,Endring,4.431891,2.322846999999996,-0.0023689999999999545,-1.0487939999999991,2.069135,-7.857950000000017,0.08625599999999878,NA,-0.0027170000000000007
Moss,3002,Endring,2.9882519999999992,-0.11464399999999841,0.088276,0.1371929999999999,0.22737999999999992,-3.2791250000000076,-0.009421999999986497,-0.034974000000000005,-0.0029379999999999996
Nannestad,3036,Endring,2.120622000000001,5.665957000000002,-0.25947,-1.1273660000000003,-1.2482380000000002,-5.163706999999988,0.009068000000000964,0.0031330000000000004,NA
Nes,3034,Endring,2.305129000000001,10.101548999999991,-0.67355,-2.929278,2.1638470000000005,-10.967063999999993,-0.030155000000000598,0.027725,NA
Nesbyen,3040,Endring,2.1917269999999993,0.33993300000000004,-0.22070199999999998,-2.6966009999999994,-6.886623,18.263294000000087,-1.5838439999999991,-0.403439,-9.003746
Nesodden,3023,Endring,1.8441509999999983,0.21928199999999998,-0.014946000000000001,-0.303103,0.12712700000000005,-1.8375199999999978,-0.033530000000006055,NA,-0.0014620000000000006
Nittedal,3031,Endring,0.8122889999999998,0.9403229999999994,0.03547,-0.32827699999999993,-0.41322500000000006,-1.0830139999999915,0.036432999999999716,NA,NA
Nordre Follo,3020,Endring,2.613966999999999,2.1005949999999984,-0.036152000000000004,-1.1106239999999996,-0.38249199999999983,-2.975088999999997,-0.21265100000000103,0.009762999999999999,-0.007318000000000001
Nore og Uvdal,3052,Endring,1.452902,0.365101,7.5056840000000005,-18.139545999999996,41.343687000000045,67.928267,-13.22887,-3.4211389999999997,-83.806087
Oslo,0301,Endring,4.720000000000002e-4,NA,NA,4.1600000000000014e-4,-0.001385,-9.599999999998499e-5,6.339999999999957e-4,-3.9999999999999996e-05,NA
Rakkestad,3016,Endring,1.0696120000000011,4.606715000000008,-0.044906999999999996,-0.12139999999999951,-0.1627010000000002,-5.040808000000027,-0.3036589999999997,-0.0028530000000000014,NA
Ringerike,3007,Endring,5.055396999999999,1.957135000000001,0.15874200000000016,2.9385450000000013,8.010547999999996,-17.852667999999994,0.027617000000006442,-0.006689000000000014,-0.288627
Rollag,3051,Endring,1.5726700000000005,-0.17970500000000023,-0.094836,-0.661664,-0.9820550000000026,10.661167999999975,0.3835569999999997,-2.5299999999999997e-4,-10.698881
Råde,3017,Endring,1.4165290000000006,0.30068199999999834,-0.130188,0.1003930000000004,0.4381249999999999,-1.801632000000005,-0.3088459999999955,-0.033012,0.017949
Rælingen,3027,Endring,0.28871300000000044,-0.33924999999999983,0.076352,-0.0071310000000002205,0.04380300000000001,0.019733999999999696,-0.10806700000000014,0.025846999999999995,NA
Sarpsborg,3003,Endring,3.2622730000000004,0.029938999999998828,-0.02955100000000002,1.1005140000000004,1.0541239999999998,-4.528572999999994,-0.8806870000000018,-0.009586999999999998,0.0015469999999999998
Sigdal,3045,Endring,3.5785870000000006,3.109898000000001,-0.024075,-2.3536730000000006,1.754756999999998,2.441267000000039,0.510465,0.014132000000000002,-9.031355
Skiptvet,3015,Endring,0.7039519999999992,-0.2547680000000021,-0.21214100000000002,0.6541730000000001,-0.17068000000000005,-0.46610599999999636,-0.21021800000000024,-0.042687,-0.001526
Ullensaker,3033,Endring,2.209897999999999,2.397773000000001,-0.3427850000000001,-3.2021320000000006,-0.7999750000000003,-0.2565309999999954,4.990000000000272e-4,NA,-0.0067469999999999995
Vestby,3019,Endring,2.6622380000000003,-0.25146600000000063,-0.19157599999999997,0.3174590000000004,1.363854,-3.964946999999995,0.05980900000000133,NA,0.004628
Våler,3018,Endring,1.211334,0.6396930000000012,-0.06600299999999999,0.6235590000000002,2.281594,-4.3026140000000055,-0.3781749999999988,-0.009388999999999998,NA
Ål,3043,Endring,0.9136430000000004,0.33424299999999985,18.643696999999996,-14.12237900000001,-1.7143020000000035,37.27611999999999,-2.4511189999999914,-0.9479490000000002,-37.931955
Ås,3021,Endring,1.7576769999999993,0.23728200000000044,-0.071879,-0.11073500000000003,-0.363498,-1.427824000000001,-0.0405249999999997,0.0019039999999999999,0.017599
Øvre Eiker,3048,Endring,2.760245000000001,2.6405360000000044,0.08606399999999997,-0.9875309999999997,3.318619,-7.963702000000012,0.13103800000000376,0.010879,0.003852
